input,target,metadata
What did Clearview AI claim about the nature and primary customers of its business in the founding description?,"Clearview AI, Inc. is an American facial recognition company, providing software primarily to law enforcement and other government agencies.",{'revision_id': 1337188731}
What controversial claim did Clearview AI make in 2020 regarding the size of the image database its algorithm matches faces against?,"The company's algorithm matches faces to a database of more than 20 billion images collected from the Internet, including social media applications.",{'revision_id': 1337188731}
Which groups and individuals expressed concern or took legal action against Clearview AI's facial recognition tool as noted in the overview?,Several U.S. senators have expressed concern about privacy rights and the American Civil Liberties Union (ACLU) has sued the company for violating privacy laws on several occasions.,{'revision_id': 1337188731}
What consequences did Clearview AI's practices reportedly trigger in the European Union and elsewhere?,"Clearview's practices have led to fines and bans by EU nations for violating privacy laws, and investigations in the U.S. and other countries.",{'revision_id': 1337188731}
What settlement restriction did Clearview agree to with the ACLU in 2022?,"In 2022, Clearview reached a settlement with the ACLU, in which they agreed to restrict U.S. market sales of facial recognition services to government entities.",{'revision_id': 1337188731}
What did the 2020 Clearview AI data breach reveal about the number of organizations with accounts?,"In 2020, a data breach of Clearview AI demonstrated 2,200 organizations in 27 countries had accounts with facial recognition searches.",{'revision_id': 1337188731}
What controversial federal contract did Clearview reportedly sign in 2025 and with which agency according to the summary?,"In 2025, they signed a $9.2 million contract with United States Immigration and Customs Enforcement (ICE).",{'revision_id': 1337188731}
How and when was Clearview AI founded according to the company history?,"Clearview AI was founded in 2017 by Hoan Ton-That and Richard Schwartz after transferring the assets of another company, SmartCheckr, which the pair originally founded in 2017 alongside Charles C. Johnson.",{'revision_id': 1337188731}
How much initial funding did Clearview reportedly raise and which notable investor was named?,The company initially raised $8.4 million from investors including Kirenaga Partners and Peter Thiel.,{'revision_id': 1337188731}
What additional fundraising amount did Clearview secure in 2020 in exchange for equity?,"Additional fundraising, in 2020, collected $8.625 million in exchange for equity.",{'revision_id': 1337188731}
What was the size of Clearview AI's 2021 fundraising round as stated in the history section?,"In 2021, another fundraising round received $30 million.",{'revision_id': 1337188731}
Which billionaire was reported to have used Clearview's app to identify someone his daughter dated and piloted it in a grocery market?,Billionaire John Catsimatidis used it to identify someone his daughter dated and piloted it at one of his Gristedes grocery markets in New York City to identify shoplifters.,{'revision_id': 1337188731}
What valuation did a Clearview spokesperson claim in October 2020?,"In October 2020, a company spokesperson claimed that Clearview AI's valuation was more than $100 million.",{'revision_id': 1337188731}
"Who were announced as Clearview AI's chief strategy, revenue, and marketing officers in May 2021?","Devesh Ashra, a former deputy assistant secretary with the United States Department of the Treasury, became its chief strategy officer. Chris Metaxas, a former executive at LexisNexis Risk Solutions, became its chief revenue officer. Susan Crandall, a former marketing executive at LexisNexis Risk Solutions and Motorola Solutions, became its chief marketing officer.",{'revision_id': 1337188731}
Which two senior executives left Clearview AI in 2021?,Devesh Ashra and Chris Metaxas left the company in 2021.,{'revision_id': 1337188731}
Which advisory board members did Clearview AI announce in August 2021?,"In August 2021, Clearview AI announced the formation of an advisory board including Raymond Kelly, Richard A. Clarke, Rudy Washington, Floyd Abrams, Lee S. Wolosky, and Owen West.",{'revision_id': 1337188731}
"As of October 2021, what did Clearview claim about the number of images it had scraped?",The company claimed to have scraped more than 10 billion images as of October 2021.,{'revision_id': 1337188731}
What expansion did Clearview announce in May 2022 regarding its sales markets?,"In May 2022, Clearview AI announced that it would be expanding sales of its facial recognition software to schools and lending platforms outside the U.S.",{'revision_id': 1337188731}
Which lawyers and legal figures were listed as part of Clearview AI's legal team defending it against lawsuits?,"Their legal staff includes Tor Ekeland, Lee S. Wolosky, Paul Clement, Floyd Abrams, and Jack Mulcaire.",{'revision_id': 1337188731}
What legal constitutional issue did Floyd Abrams say could reach the Supreme Court regarding Clearview AI?,Abrams stated the issue of privacy rights versus free speech in the First Amendment could reach the Supreme Court.,{'revision_id': 1337188731}
"Who were appointed co-CEOs of Clearview AI on February 19, 2025, following Ton-That's resignation?","On February 19, 2025, following the resignation of Ton-That in December 2024, Clearview AI appointed Hal Lambert and Richard Swartz as CEOs.",{'revision_id': 1337188731}
What is noted about Hal Lambert's prior political fundraising activities in the February 2025 leadership announcement?,Lambert and Swartz were early investors in the company. Lambert previously did fundraising for the Trump presidential campaigns.,{'revision_id': 1337188731}
"After stepping down as CEO, what did Hoan Ton-That reportedly state about his role at Clearview AI?",In a separate statement Ton-That said he would remain a board member.,{'revision_id': 1337188731}
How does Clearview AI's software work according to the usage description?,Clearview AI provides facial recognition software where users can upload an image of a face and match it against their database.,{'revision_id': 1337188731}
Which New York Times investigative report and date exposed Clearview AI's near-secrecy?,"The company operated in near secrecy until the release of an investigative report in The New York Times titled ""The Secretive Company That Might End Privacy as We Know It"" in January 2020.",{'revision_id': 1337188731}
