input,target,metadata
Which U.S. senators expressed concern about privacy rights and which civil liberties group sued Clearview AI on several occasions?,Several U.S. senators have expressed concern about privacy rights and the American Civil Liberties Union (ACLU) has sued the company for violating privacy laws on several occasions.,{'revision_id': 1337188731}
"As of the company's public reporting, what size database did Clearview AI's algorithm match faces to in 2019 including social media?","The company's algorithm matches faces to a database of more than 20 billion images collected from the Internet, including social media applications.",{'revision_id': 1337188731}
What settlement did Clearview reach with the ACLU in 2022 concerning U.S. market sales?,"In 2022, Clearview reached a settlement with the ACLU, in which they agreed to restrict U.S. market sales of facial recognition services to government entities.",{'revision_id': 1337188731}
What did the 2020 data breach of Clearview AI demonstrate about the number of organizations and countries with accounts?,"In 2020, a data breach of Clearview AI demonstrated 2,200 organizations in 27 countries had accounts with facial recognition searches.",{'revision_id': 1337188731}
Who founded Clearview AI in 2017 and from what prior company's assets were they created?,"Clearview AI was founded in 2017 by Hoan Ton-That and Richard Schwartz after transferring the assets of another company, SmartCheckr, which the pair originally founded in 2017 alongside Charles C. Johnson.",{'revision_id': 1337188731}
How much did Clearview initially raise and which investors were named in that initial funding?,The company initially raised $8.4 million from investors including Kirenaga Partners and Peter Thiel.,{'revision_id': 1337188731}
How much additional fundraising did Clearview collect in 2020 and did it disclose investors in that round?,"Additional fundraising, in 2020, collected $8.625 million in exchange for equity. The company did not disclose investors in the second round.",{'revision_id': 1337188731}
How did billionaire John Catsimatidis reportedly use Clearview AI during the company's early fundraising period?,Billionaire John Catsimatidis used it to identify someone his daughter dated and piloted it at one of his Gristedes grocery markets in New York City to identify shoplifters.,{'revision_id': 1337188731}
What valuation did a Clearview AI spokesperson claim in October 2020?,"In October 2020, a company spokesperson claimed that Clearview AI's valuation was more than $100 million.",{'revision_id': 1337188731}
Who became Clearview's chief strategy officer and chief revenue officer in May 2021 and what were their previous roles?,"Devesh Ashra, a former deputy assistant secretary with the United States Department of the Treasury, became its chief strategy officer. Chris Metaxas, a former executive at LexisNexis Risk Solutions, became its chief revenue officer.",{'revision_id': 1337188731}
Which two executives left Clearview AI in 2021 after being announced in May 2021?,Devesh Ashra and Chris Metaxas left the company in 2021.,{'revision_id': 1337188731}
Who did Clearview AI announce as members of its advisory board in August 2021?,"In August 2021, Clearview AI announced the formation of an advisory board including Raymond Kelly, Richard A. Clarke, Rudy Washington, Floyd Abrams, Lee S. Wolosky, and Owen West.",{'revision_id': 1337188731}
How many images did Clearview claim to have scraped as of October 2021?,The company claimed to have scraped more than 10 billion images as of October 2021.,{'revision_id': 1337188731}
What expansion did Clearview announce in May 2022 regarding customers outside the U.S.?,"In May 2022, Clearview AI announced that it would be expanding sales of its facial recognition software to schools and lending platforms outside the U.S.",{'revision_id': 1337188731}
Which notable legal figures did Clearview AI hire to defend the company against lawsuits?,"Their legal staff includes Tor Ekeland, Lee S. Wolosky, Paul Clement, Floyd Abrams, and Jack Mulcaire.",{'revision_id': 1337188731}
"Who were appointed co-CEOs of Clearview AI on February 19, 2025 following Ton-That's resignation, and what is known about Hal Lambert's prior political activities?","On February 19, 2025, following the resignation of Ton-That in December 2024, Clearview AI appointed Hal Lambert and Richard Swartz as CEOs. Lambert and Swartz were early investors in the company. Lambert previously did fundraising for the Trump presidential campaigns.",{'revision_id': 1337188731}
How does Clearview AI's facial recognition software operate when a user uploads an image?,"Clearview AI provides facial recognition software where users can upload an image of a face and match it against their database. The software then supplies links to where the ""match"" can be found online.",{'revision_id': 1337188731}
How did Clearview maintain near secrecy prior to The New York Times report in January 2020?,It maintained this secrecy by publishing fake information about the company's location and employees and erasing social media for the founders.,{'revision_id': 1337188731}
What action did over 40 tech and civil rights organizations take citing the January 2020 New York Times article?,"Citing the article, over 40 tech and civil rights organizations sent a letter to the Privacy and Civil Liberties Oversight Board (PCLOB) and four congressional committees, outlining their concerns with facial recognition and Clearview, and asking the PCLOB to suspend use of facial recognition.",{'revision_id': 1337188731}
What did Twitter do after discovering Clearview was scraping images from its site in early 2020?,"After discovering Clearview AI was scraping images from their site, Twitter sent a cease-and-desist letter to Clearview, insisting that they remove all images as scraping is against Twitter's policies.",{'revision_id': 1337188731}
"Which companies sent cease-and-desist letters to Clearview on February 5 and 6, 2020?","On February 5 and 6, 2020, Google, YouTube, Facebook, and Venmo sent cease and desist letters as it is against their policies.",{'revision_id': 1337188731}
How did Hoan Ton-That defend Clearview's scraping practices in interviews regarding public data rights?,Ton-That responded in an interview that there is a First Amendment right to access public data.,{'revision_id': 1337188731}
What later claim did Ton-That make about the total number of images Clearview had scraped from across the web?,He later stated that Clearview has scraped over 50 billion images from across the web.,{'revision_id': 1337188731}
How did the New Zealand Police's January 2020 trial use Clearview and what did Justice Minister Andrew Little say after RNZ revealed the usage?,"The New Zealand Police used it in a trial after being approached by Clearview's Marko Jukic in January 2020. Jukic said it would have helped identify the Christchurch mosque shooter had the technology been available. The usage of Clearview's software in this case raised strong objections once exposed, as neither the users' supervisors or the Privacy Commissioner were aware or approved of its use. After it was revealed by RNZ, Justice Minister Andrew Little stated, ""It clearly wasn't endorsed, from the senior police hierarchy, and it clearly didn't get the endorsement from the Minister  that is a matter of concern."".",{'revision_id': 1337188731}
"How was Clearview's technology used at the May 30, 2020 George Floyd protest in Miami and what did Ton-That say about its use?","Clearview's technology was used for identifying an individual at a May 30, 2020 George Floyd police violence protest in Miami, Florida. Miami's WTVJ confirmed this, as the arrest report only said she was ""identified through investigative means"". The defendant's attorney did not even know it was with Clearview. Ton-That confirmed its use, noting that it was not being used for surveillance, but only to investigate a crime.",{'revision_id': 1337188731}
