input,target,metadata
"What is Clearview AI, Inc.'s business and primary customers as stated?","Clearview AI, Inc. is an American facial recognition company, providing software primarily to law enforcement and other government agencies.",{'revision_id': 1337188731}
"What did Clearview AI's algorithm match faces to, including scale, as stated?","The company's algorithm matches faces to a database of more than 20 billion images collected from the Internet, including social media applications.",{'revision_id': 1337188731}
Who founded Clearview AI and what did the company do until late 2019 when its usage by law enforcement was first reported?,"Founded by Hoan Ton-That, Charles C. Johnson, and Richard Schwartz, the company maintained a low profile until late 2019, when its usage by law enforcement was first reported.",{'revision_id': 1337188731}
Which U.S. groups expressed concern and which organization sued Clearview AI after controversy over its facial recognition tool?,Several U.S. senators have expressed concern about privacy rights and the American Civil Liberties Union (ACLU) has sued the company for violating privacy laws on several occasions.,{'revision_id': 1337188731}
What consequences did Clearview's practices lead to in EU nations and elsewhere?,"Clearview's practices have led to fines and bans by EU nations for violating privacy laws, and investigations in the U.S. and other countries.",{'revision_id': 1337188731}
What did Clearview agree to in the 2022 settlement with the ACLU regarding U.S. market sales?,"In 2022, Clearview reached a settlement with the ACLU, in which they agreed to restrict U.S. market sales of facial recognition services to government entities.",{'revision_id': 1337188731}
What did the 2020 data breach of Clearview AI demonstrate about organizations and countries with accounts?,"In 2020, a data breach of Clearview AI demonstrated 2,200 organizations in 27 countries had accounts with facial recognition searches.",{'revision_id': 1337188731}
What contract did Clearview sign in 2025 with United States Immigration and Customs Enforcement (ICE)?,"In 2025, they signed a $9.2 million contract with United States Immigration and Customs Enforcement (ICE).",{'revision_id': 1337188731}
How and when was Clearview AI founded involving SmartCheckr and who were the founders?,"Clearview AI was founded in 2017 by Hoan Ton-That and Richard Schwartz after transferring the assets of another company, SmartCheckr, which the pair originally founded in 2017 alongside Charles C. Johnson.",{'revision_id': 1337188731}
How much did Clearview initially raise and who were some investors?,The company initially raised $8.4 million from investors including Kirenaga Partners and Peter Thiel.,{'revision_id': 1337188731}
How much did Clearview collect in additional fundraising in 2020?,"Additional fundraising, in 2020, collected $8.625 million in exchange for equity.",{'revision_id': 1337188731}
How much did Clearview receive in the 2021 fundraising round?,"In 2021, another fundraising round received $30 million.",{'revision_id': 1337188731}
Who was given early use of Clearview's app during its Series A fundraising?,Early use of Clearview's app was given to potential investors in their Series A fundraising round.,{'revision_id': 1337188731}
What controversial use did billionaire John Catsimatidis make of Clearview in New York City?,Billionaire John Catsimatidis used it to identify someone his daughter dated and piloted it at one of his Gristedes grocery markets in New York City to identify shoplifters.,{'revision_id': 1337188731}
What valuation did a company spokesperson claim for Clearview AI in October 2020?,"In October 2020, a company spokesperson claimed that Clearview AI's valuation was more than $100 million.",{'revision_id': 1337188731}
Who became Clearview AI's chief strategy officer in May 2021?,"Devesh Ashra, a former deputy assistant secretary with the United States Department of the Treasury, became its chief strategy officer.",{'revision_id': 1337188731}
Who became Clearview AI's chief revenue officer in May 2021?,"Chris Metaxas, a former executive at LexisNexis Risk Solutions, became its chief revenue officer.",{'revision_id': 1337188731}
Who became Clearview AI's chief marketing officer in May 2021?,"Susan Crandall, a former marketing executive at LexisNexis Risk Solutions and Motorola Solutions, became its chief marketing officer.",{'revision_id': 1337188731}
What happened to Devesh Ashra and Chris Metaxas in 2021 at Clearview AI?,Devesh Ashra and Chris Metaxas left the company in 2021.,{'revision_id': 1337188731}
Who was named to Clearview AI's advisory board in August 2021?,"In August 2021, Clearview AI announced the formation of an advisory board including Raymond Kelly, Richard A. Clarke, Rudy Washington, Floyd Abrams, Lee S. Wolosky, and Owen West.",{'revision_id': 1337188731}
How many images did the company claim to have scraped as of October 2021?,The company claimed to have scraped more than 10 billion images as of October 2021.,{'revision_id': 1337188731}
What did Clearview announce in May 2022 about expanding sales of its software?,"In May 2022, Clearview AI announced that it would be expanding sales of its facial recognition software to schools and lending platforms outside the U.S.",{'revision_id': 1337188731}
Which lawyers were included in Clearview AI's legal staff to defend against lawsuits?,"Their legal staff includes Tor Ekeland, Lee S. Wolosky, Paul Clement, Floyd Abrams, and Jack Mulcaire.",{'revision_id': 1337188731}
What did Floyd Abrams state in 2021 about privacy rights versus free speech and potential Supreme Court involvement?,Abrams stated the issue of privacy rights versus free speech in the First Amendment could reach the Supreme Court.,{'revision_id': 1337188731}
"What leadership change occurred on February 19, 2025 after Ton-That's resignation in December 2024?","On February 19, 2025, following the resignation of Ton-That in December 2024, Clearview AI appointed Hal Lambert and Richard Swartz as CEOs.",{'revision_id': 1337188731}
