input,target,metadata
What did Clearview AI's algorithm match faces to as described in the company's overview?,"The company's algorithm matches faces to a database of more than 20 billion images collected from the Internet, including social media applications.",{'revision_id': 1337188731}
Who were the founders of Clearview AI and what was said about the company's profile until late 2019?,"Founded by Hoan Ton-That, Charles C. Johnson, and Richard Schwartz, the company maintained a low profile until late 2019, when its usage by law enforcement was first reported.",{'revision_id': 1337188731}
What settlement did Clearview AI reach with the ACLU in 2022 concerning U.S. market sales?,"In 2022, Clearview reached a settlement with the ACLU, in which they agreed to restrict U.S. market sales of facial recognition services to government entities.",{'revision_id': 1337188731}
What did the 2020 data breach of Clearview AI demonstrate about organizations and countries with accounts?,"In 2020, a data breach of Clearview AI demonstrated 2,200 organizations in 27 countries had accounts with facial recognition searches.",{'revision_id': 1337188731}
What contract did Clearview AI sign in 2025 with United States Immigration and Customs Enforcement (ICE)?,"In 2025, they signed a $9.2 million contract with United States Immigration and Customs Enforcement (ICE).",{'revision_id': 1337188731}
"According to the company's history, how and when was Clearview AI founded involving SmartCheckr and which founders?","Clearview AI was founded in 2017 by Hoan Ton-That and Richard Schwartz after transferring the assets of another company, SmartCheckr, which the pair originally founded in 2017 alongside Charles C. Johnson.",{'revision_id': 1337188731}
How much initial funding did Clearview AI raise and which investors were named?,The company initially raised $8.4 million from investors including Kirenaga Partners and Peter Thiel.,{'revision_id': 1337188731}
What additional fundraising did Clearview AI collect in 2020 and under what terms?,"Additional fundraising, in 2020, collected $8.625 million in exchange for equity.",{'revision_id': 1337188731}
What fundraising amount did Clearview AI receive in 2021?,"In 2021, another fundraising round received $30 million.",{'revision_id': 1337188731}
How did billionaire John Catsimatidis reportedly use Clearview AI according to the history section?,Billionaire John Catsimatidis used it to identify someone his daughter dated and piloted it at one of his Gristedes grocery markets in New York City to identify shoplifters.,{'revision_id': 1337188731}
What valuation claim did a Clearview AI spokesperson make in October 2020?,"In October 2020, a company spokesperson claimed that Clearview AI's valuation was more than $100 million.",{'revision_id': 1337188731}
What executive appointments did Clearview AI announce in May 2021?,"The company announced its first chief strategy officer, chief revenue officer, and chief marketing officer in May 2021.",{'revision_id': 1337188731}
"Who became chief strategy officer, chief revenue officer, and chief marketing officer at Clearview AI in May 2021?","Devesh Ashra, a former deputy assistant secretary with the United States Department of the Treasury, became its chief strategy officer. Chris Metaxas, a former executive at LexisNexis Risk Solutions, became its chief revenue officer. Susan Crandall, a former marketing executive at LexisNexis Risk Solutions and Motorola Solutions, became its chief marketing officer.",{'revision_id': 1337188731}
Which two executives left Clearview AI in 2021?,Devesh Ashra and Chris Metaxas left the company in 2021.,{'revision_id': 1337188731}
What advisory board did Clearview AI announce in August 2021 and which members were listed?,"In August 2021, Clearview AI announced the formation of an advisory board including Raymond Kelly, Richard A. Clarke, Rudy Washington, Floyd Abrams, Lee S. Wolosky, and Owen West.",{'revision_id': 1337188731}
How many images did Clearview claim to have scraped as of October 2021?,The company claimed to have scraped more than 10 billion images as of October 2021.,{'revision_id': 1337188731}
What expansion did Clearview AI announce in May 2022 regarding sales targets?,"In May 2022, Clearview AI announced that it would be expanding sales of its facial recognition software to schools and lending platforms outside the U.S.",{'revision_id': 1337188731}
Which lawyers were included in Clearview AI's legal staff hired to defend against lawsuits?,"Their legal staff includes Tor Ekeland, Lee S. Wolosky, Paul Clement, Floyd Abrams, and Jack Mulcaire.",{'revision_id': 1337188731}
What did Floyd Abrams state in 2021 about the privacy versus free speech issue for Clearview AI?,Abrams stated the issue of privacy rights versus free speech in the First Amendment could reach the Supreme Court.,{'revision_id': 1337188731}
"Who were appointed CEOs of Clearview AI on February 19, 2025, and what prompted the appointment?","On February 19, 2025, following the resignation of Ton-That in December 2024, Clearview AI appointed Hal Lambert and Richard Swartz as CEOs.",{'revision_id': 1337188731}
How is Clearview AI's software described in terms of user interaction with images?,Clearview AI provides facial recognition software where users can upload an image of a face and match it against their database.,{'revision_id': 1337188731}
What investigative report and date ended Clearview AI's near secrecy according to the usage section?,"The company operated in near secrecy until the release of an investigative report in The New York Times titled ""The Secretive Company That Might End Privacy as We Know It"" in January 2020.",{'revision_id': 1337188731}
How did Clearview AI reportedly maintain secrecy prior to January 2020?,It maintained this secrecy by publishing fake information about the company's location and employees and erasing social media for the founders.,{'revision_id': 1337188731}
What did over 40 tech and civil rights organizations do citing the January 2020 report and to which bodies did they send a letter?,"Citing the article, over 40 tech and civil rights organizations sent a letter to the Privacy and Civil Liberties Oversight Board (PCLOB) and four congressional committees, outlining their concerns with facial recognition and Clearview, and asking the PCLOB to suspend use of facial recognition.",{'revision_id': 1337188731}
What action did Twitter take after discovering Clearview AI was scraping images from Twitter in early 2020?,"After discovering Clearview AI was scraping images from their site, Twitter sent a cease-and-desist letter to Clearview, insisting that they remove all images as scraping is against Twitter's policies.",{'revision_id': 1337188731}
